"Daily Weather Observations for Armidale Airport, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2165.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Armidale Airport AWS {station 056238}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.4","24.0","0","","","E","37","07:45","16.8","85","8","E","20","1018.8","22.6","63","8","ESE","22","1018.3"
"","2016-03-2","11.7","29.2","0","","","ESE","37","16:36","18.3","54","","ENE","11","1020.8","28.1","17","","S","13","1018.1"
"","2016-03-3","12.6","28.3","0","","","E","35","14:31","17.7","89","","W","6","1021.3","27.0","33","","SE","17","1019.0"
"","2016-03-4","14.0","27.7","0","","","ESE","39","20:19","17.2","78","4","ENE","9","1020.7","26.7","32","2","SSE","13","1017.6"
"","2016-03-5","13.5","28.1","0","","","E","37","15:10","17.2","93","2","E","11","1020.8","27.0","35","1","ENE","19","1018.1"
"","2016-03-6","11.9","26.8","0","","","E","41","14:33","17.4","78","","E","20","1021.3","25.0","49","2","NNE","13","1019.2"
"","2016-03-7","14.5","27.7","0","","","E","39","15:37","18.0","84","","ENE","20","1021.3","27.1","34","1","ESE","19","1018.5"
"","2016-03-8","11.5","27.3","0.2","","","E","44","14:47","16.6","84","","ESE","15","1022.1","25.9","46","3","ESE","26","1019.5"
"","2016-03-9","15.7","27.9","0","","","ENE","35","08:12","19.1","72","4","ENE","24","1022.1","24.6","50","8","NNE","11","1019.2"
"","2016-03-10","12.9","28.6","0","","","ESE","37","16:04","20.3","50","","WNW","7","1021.2","28.4","32","4","E","9","1017.9"
"","2016-03-11","14.4","26.0","0","","","ENE","26","23:51","18.0","75","4","ENE","13","1020.3","25.4","35","1","WNW","13","1017.3"
"","2016-03-12","14.4","28.1","0","","","SE","35","12:16","18.1","81","","ENE","17","1019.9","27.5","30","","ESE","20","1017.7"
"","2016-03-13","12.2","28.6","0","","","E","37","17:23","17.8","75","","ENE","17","1019.3","27.3","33","","NNE","13","1016.5"
"","2016-03-14","12.1","27.8","0","","","SE","43","14:08","19.2","77","","W","9","1016.8","25.9","48","8","NE","9","1012.8"
"","2016-03-15","15.4","24.4","3.4","","","E","39","11:14","16.7","99","8","ESE","20","1015.9","23.4","51","","SE","24","1014.4"
"","2016-03-16","13.9","24.4","0","","","ESE","35","17:06","16.1","97","8","ESE","19","1016.0","22.9","56","8","ESE","19","1013.8"
"","2016-03-17","13.9","23.8","0","","","E","35","00:28","15.3","99","7","E","19","1014.4","21.9","52","8","S","11","1010.4"
"","2016-03-18","11.8","26.0","0","","","W","56","13:52","20.3","67","","NW","22","1007.6","21.9","67","8","WNW","35","1004.0"
"","2016-03-19","12.3","24.2","1.2","","","E","41","22:02","13.5","89","8","WNW","13","1008.1","23.0","33","6","W","19","1006.8"
"","2016-03-20","12.6","21.1","0.2","","","E","44","15:56","13.5","89","8","E","30","1012.7","19.0","59","8","ESE","24","1010.6"
"","2016-03-21","12.4","20.3","0","","","S","67","14:48","13.0","99","7","E","19","1013.3","19.2","52","8","ENE","15","1009.5"
"","2016-03-22","7.8","21.5","1.8","","","ESE","33","23:57","12.3","92","5","E","15","1013.8","20.1","37","8","SW","15","1010.7"
"","2016-03-23","6.1","23.6","0","","","NW","41","11:56","10.7","98","8","ENE","13","1016.7","22.5","30","","WSW","15","1014.5"
"","2016-03-24","7.5","25.7","0","","","E","31","20:10","16.0","75","","ENE","6","1020.2","24.5","20","","NNW","7","1017.3"
"","2016-03-25","9.4","25.7","0","","","W","43","10:19","16.7","73","","NW","9","1018.7","24.4","38","6","W","26","1015.6"
"","2016-03-26","11.8","25.8","0","","","W","39","11:49","17.4","78","1","WNW","4","1016.8","24.0","31","2","W","15","1013.8"
"","2016-03-27","13.6","26.6","0","","","E","33","15:26","17.5","84","5","ENE","6","1016.4","24.2","29","","SSW","9","1013.8"
"","2016-03-28","11.0","26.3","2.2","","","W","35","11:32","16.5","89","","ENE","7","1017.9","25.7","30","","WNW","20","1014.8"
"","2016-03-29","13.3","26.2","0.2","","","NW","46","13:40","18.7","76","7","NW","20","1018.3","24.4","42","8","NW","26","1015.2"
"","2016-03-30","13.1","19.4","11.2","","","WSW","39","16:14","14.1","94","8","NNW","9","1016.2","17.3","79","8","W","22","1013.9"
"","2016-03-31","8.5","21.5","9.2","","","WSW","33","15:23","13.3","84","","WNW","11","1016.1","20.9","36","","WSW","22","1014.3"
