"Daily Weather Observations for Ballina, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2006.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Ballina Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballina Airport AWS {station 058198}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","21.7","26.5","86.8","","","S","43","00:46","24.2","85","8","SE","17","1019.2","25.6","75","8","SE","19","1018.6"
"","2016-03-2","20.7","28.0","6.4","","","SE","30","23:11","22.1","100","8","WNW","7","1020.6","26.2","73","8","E","15","1019.5"
"","2016-03-3","19.9","28.0","4.0","","","ENE","35","13:13","22.5","100","8","W","6","1021.7","26.1","71","7","NE","22","1020.4"
"","2016-03-4","19.0","27.7","0","","","E","28","10:21","22.3","94","8","WSW","9","1021.6","26.8","62","1","ESE","15","1019.6"
"","2016-03-5","17.5","28.3","1.0","","","ESE","30","15:50","20.8","92","8","W","2","1021.5","27.4","59","3","SE","17","1019.9"
"","2016-03-6","19.1","28.1","0.2","","","ESE","30","16:15","22.8","83","2","WSW","6","1021.8","27.1","70","8","ESE","17","1020.3"
"","2016-03-7","20.2","27.9","1.6","","","NE","31","09:40","24.4","82","4","ESE","2","1021.7","26.7","66","3","E","19","1019.9"
"","2016-03-8","21.1","28.2","8.6","","","ESE","39","11:33","23.3","98","8","SE","7","1021.0","26.3","76","8","E","24","1020.1"
"","2016-03-9","23.1","28.4","5.6","","","ENE","35","10:48","26.5","74","6","ENE","20","1022.4","26.8","69","8","ENE","22","1020.6"
"","2016-03-10","18.5","28.5","0","","","SE","26","14:36","23.1","86","4","WSW","9","1021.8","27.6","70","","ESE","17","1019.7"
"","2016-03-11","20.6","28.4","0","","","NE","30","10:23","23.4","90","6","SW","7","1020.2","26.9","69","7","ENE","17","1018.6"
"","2016-03-12","19.2","28.3","1.4","","","ESE","31","11:47","24.6","74","2","W","2","1020.0","27.3","59","","E","19","1018.9"
"","2016-03-13","23.2","27.6","2.0","","","ESE","39","05:52","26.2","83","8","ESE","15","1018.9","25.1","86","8","ESE","15","1016.9"
"","2016-03-14","20.0","28.2","6.6","","","E","31","12:29","23.0","85","8","W","7","1017.0","27.1","62","1","E","13","1014.2"
"","2016-03-15","19.6","28.6","0","","","SSE","44","16:36","23.8","82","","SW","15","1015.3","27.1","63","8","SSE","26","1013.9"
"","2016-03-16","21.5","25.3","54.2","","","ESE","37","16:07","22.1","99","5","SSW","13","1015.2","25.2","83","8","SSE","20","1013.7"
"","2016-03-17","20.3","27.1","21.0","","","SSE","31","13:11","21.9","96","8","SW","13","1014.6","26.6","71","8","S","19","1011.0"
"","2016-03-18","17.8","28.7","0.8","","","N","44","16:40","22.8","84","","W","6","1009.7","28.3","68","","NE","26","1004.8"
"","2016-03-19","20.3","28.1","6.2","","","S","39","11:14","24.1","83","1","SSW","7","1007.8","26.0","69","7","SE","24","1007.5"
"","2016-03-20","19.2","25.7","7.0","","","S","41","11:51","21.6","83","8","WSW","17","1013.4","23.8","79","8","SE","20","1012.0"
"","2016-03-21","20.3","25.0","1.4","","","S","44","13:37","20.9","90","8","SW","15","1013.5","23.3","76","4","SSE","28","1011.4"
"","2016-03-22","16.6","25.5","12.6","","","S","39","11:20","20.6","72","7","WSW","19","1014.4","25.2","61","","S","22","1012.3"
"","2016-03-23","16.1","25.9","3.6","","","SSE","31","12:36","21.3","75","","WSW","13","1017.3","25.2","60","","SSE","20","1015.8"
"","2016-03-24","17.1","27.5","1.4","","","ESE","31","14:43","22.6","76","","W","15","1021.1","26.2","60","","SE","20","1018.7"
"","2016-03-25","15.7","27.2","0","","","ENE","28","15:39","20.9","81","","W","7","1020.2","26.4","56","","ENE","17","1016.7"
"","2016-03-26","17.7","28.4","0","","","SW","54","17:57","22.8","73","8","NW","9","1017.4","27.5","79","","NE","26","1014.3"
"","2016-03-27","18.8","25.4","49.8","","","ENE","28","13:16","20.6","92","8","WNW","11","1017.5","23.5","83","8","NE","15","1016.1"
"","2016-03-28","16.9","27.3","0.2","","","ENE","26","14:42","20.3","","8","N","6","1019.7","26.7","85","","ENE","13","1017.1"
"","2016-03-29","17.0","28.7","0","","","NE","31","15:49","22.2","92","","NW","2","1019.4","27.7","66","","ENE","20","1016.0"
"","2016-03-30","21.4","28.3","0","","","SW","61","12:53","23.8","90","8","N","9","1016.9","20.2","","8","S","7","1015.3"
"","2016-03-31","16.2","27.0","6.6","","","SSE","30","12:58","21.0","88","","SW","7","1016.7","25.7","71","","SSE","20","1014.9"
