"Daily Weather Observations for Bega, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2013.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bega AWS {station 069139}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.5","27.8","0","","","NE","44","14:18","21.5","85","","ENE","2","1021.4","26.9","65","","NE","28","1017.6"
"","2016-03-2","16.3","33.6","0","","","ENE","28","14:05","18.1","100",""," ","Calm","1018.3","32.6","53","","ENE","20","1014.5"
"","2016-03-3","16.6","28.1","0","","","N","37","22:55","19.1","100","","S","6","1020.9","26.2","66","","E","15","1020.0"
"","2016-03-4","16.2","33.0","0.2","","","N","39","23:01","19.0","99","","SE","2","1020.0","31.6","52","","NE","20","1016.6"
"","2016-03-5","16.2","32.6","0","","","SE","22","16:20","18.5","100",""," ","Calm","1019.0","32.3","54","","SSE","13","1016.9"
"","2016-03-6","18.5","32.3","0","","","ENE","31","16:34","21.5","87","","W","7","1021.0","31.6","50","","NE","19","1017.8"
"","2016-03-7","16.3","31.1","0","","","ESE","31","14:12","17.7","100","","NE","6","1019.9","29.7","56","","ESE","20","1018.3"
"","2016-03-8","17.7","30.5","0.2","","","NE","46","15:37","19.4","100","","SSW","9","1023.1","28.5","59","","NE","31","1020.0"
"","2016-03-9","14.6","34.2","0","","","SSW","33","16:10","17.9","99","","S","13","1017.9","33.5","53","","SE","9","1013.8"
"","2016-03-10","17.9","25.7","0","","","ESE","20","14:12","20.7","87","","SSW","7","1022.4","24.3","74","","ESE","13","1021.0"
"","2016-03-11","20.0","31.3","1.8","","","SW","39","15:53","21.0","100",""," ","Calm","1018.4","30.5","55","","NNE","15","1014.6"
"","2016-03-12","17.5","27.1","9.0","","","SE","31","12:54","19.4","100","","NNE","4","1019.7","25.4","77","","SE","22","1018.7"
"","2016-03-13","19.2","27.6","0.6","","","ESE","24","13:10","21.4","100","","SSW","6","1020.8","26.9","71","","E","15","1017.7"
"","2016-03-14","18.3","26.5","0.2","","","ESE","41","14:26","20.3","100",""," ","Calm","1017.5","25.0","66","","E","28","1016.8"
"","2016-03-15","17.7","20.4","1.8","","","SW","28","15:45","18.2","97","","WNW","9","1022.4","18.9","99","","SSW","9","1022.1"
"","2016-03-16","16.5","24.0","29.0","","","E","30","14:12","17.7","95",""," ","Calm","1022.9","21.8","72","","ESE","17","1020.3"
"","2016-03-17","13.1","25.8","0.2","","","NE","28","14:29","14.5","100",""," ","Calm","1017.2","25.0","62","","ENE","19","1011.2"
"","2016-03-18","14.5","24.3","0.2","","","SW","72","12:46","19.5","86","","N","17","997.1","17.3","91","","SSE","17","993.4"
"","2016-03-19","13.4","21.8","1.6","","","SW","48","23:51","15.9","48","","WSW","22","1011.0","20.7","46","","WSW","9","1012.1"
"","2016-03-20","10.2","21.4","0","","","SW","31","09:03","14.8","76","","ESE","2","1019.7","20.2","50","","S","13","1018.7"
"","2016-03-21","11.3","21.8","0","","","ESE","37","13:35","13.4","86",""," ","Calm","1020.6","16.8","94","","ESE","13","1018.9"
"","2016-03-22","13.1","23.1","2.8","","","SSW","39","09:57","17.1","69","","WSW","17","1020.0","22.7","51","","SE","13","1017.3"
"","2016-03-23","8.4","26.4","0","","","ESE","24","13:26","11.1","99",""," ","Calm","1017.7","24.5","57","","ESE","17","1015.2"
"","2016-03-24","11.1","21.8","0","","","SSE","15","15:16","14.0","99",""," ","Calm","1020.7","21.2","69","","NE","6","1019.6"
"","2016-03-25","14.0","24.3","0","","","SE","30","12:44","15.6","99",""," ","Calm","1017.1","23.6","62","","ENE","19","1015.4"
"","2016-03-26","14.9","24.0","1.0","","","ESE","26","13:09","16.4","98",""," ","Calm","1018.6","23.0","57","","SE","17","1016.1"
"","2016-03-27","16.2","20.8","0.2","","","ESE","24","13:29","17.4","92",""," ","Calm","1019.6","18.9","68","","ESE","15","1018.4"
"","2016-03-28","14.5","18.1","0","","","SW","17","17:09","15.0","93",""," ","Calm","1021.1","17.4","73",""," ","Calm","1018.1"
"","2016-03-29","14.5","17.8","0.2","","","WSW","20","04:09","15.0","98",""," ","Calm","1020.5","17.2","90","","W","6","1019.0"
"","2016-03-30","15.0","23.4","9.6","","","SSW","43","14:32","16.4","100","","NE","9","1014.6","22.2","60","","S","20","1011.8"
"","2016-03-31","14.5","24.0","3.6","","","WSW","41","23:21","16.9","64","","WSW","19","1017.8","23.3","48","","S","11","1015.6"
