"Daily Weather Observations for Campbelltown, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2157.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Campbelltown (Mount Annan) {station 068257}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.4","30.2","0","","","N","30","11:05","22.4","81",""," ","Calm","","29.2","45","","N","13",""
"","2016-03-2","15.5","33.7","0","","","NE","28","15:19","20.6","89","","WNW","6","","32.0","32","","N","13",""
"","2016-03-3","18.0","34.2","0","","","NE","31","16:43","22.2","89","","NNE","7","","33.5","35","","NE","11",""
"","2016-03-4","18.3","31.3","0","","","NNE","33","12:49","22.5","83",""," ","Calm","","29.1","47","","NE","13",""
"","2016-03-5","15.1","32.5","0","","","NE","26","17:26","20.8","93","","NNE","2","","32.0","26","","NE","9",""
"","2016-03-6","14.2","31.9","0","","","ENE","30","17:07","20.4","92","","S","6","","30.4","44","","NNE","15",""
"","2016-03-7","17.2","33.3","0","","","NE","28","15:27","22.9","86","","N","4","","32.2","34","","NNE","11",""
"","2016-03-8","17.4","31.4","0","","","SE","31","12:50","23.3","79",""," ","Calm","","31.1","37","","NE","13",""
"","2016-03-9","19.1","35.6","0","","","N","26","15:03","24.2","81","","NNE","7","","33.4","36","","NNE","9",""
"","2016-03-10","19.5","31.4","0","","","ESE","26","12:49","24.0","77","","SSW","9","","29.5","53","","SE","15",""
"","2016-03-11","21.2","30.0","0","","","N","20","11:28","23.1","86","","ENE","9","","26.8","65","","SSW","9",""
"","2016-03-12","18.0","34.2","0","","","NE","28","15:07","22.6","86","","S","7","","33.7","30","","N","9",""
"","2016-03-13","18.8","31.0","0","","","E","30","16:15","23.4","77","","E","4","","29.3","42","","NE","11",""
"","2016-03-14","19.0","33.4","0","","","SE","31","13:31","21.8","88","","SSW","9","","22.9","84","","S","13",""
"","2016-03-15","19.2","28.4","2.4","","","S","30","11:53","19.5","90","","SSW","7","","27.5","40","","S","13",""
"","2016-03-16","17.9","28.3","3.2","","","S","28","09:27","19.8","84","","SSW","7","","25.6","47","","E","11",""
"","2016-03-17","17.9","26.9","13.4","","","NE","24","14:51","20.6","91","","SSW","6","","25.1","65","","ESE","11",""
"","2016-03-18","16.6","26.6","0.2","","","WSW","59","14:43","19.5","91","","NNW","7","","26.5","61","","N","17",""
"","2016-03-19","8.9","24.0","1.4","","","ESE","28","16:53","16.7","51","","SSW","6","","21.3","41","","ESE","13",""
"","2016-03-20","13.6","24.9","0","","","SSE","33","15:04","16.7","60","","SSW","9","","21.5","47","","SSE","13",""
"","2016-03-21","14.4","22.9","0.2","","","S","33","13:13","17.1","69","","SW","13","","21.7","54","","S","9",""
"","2016-03-22","10.9","25.3","0.2","","","SSW","33","13:01","17.4","67","","SSW","17","","23.1","44","","S","13",""
"","2016-03-23","11.4","28.0","0","","","ESE","30","14:47","16.3","80","","S","9","","27.6","32","","NNE","9",""
"","2016-03-24","13.2","29.9","0","","","N","24","13:59","18.0","63","","SSW","9","","29.1","24","","N","11",""
"","2016-03-25","14.8","24.7","0","","","SSW","15","08:48","18.5","87",""," ","Calm","","23.5","55","","N","7",""
"","2016-03-26","13.4","29.4","0","","","ENE","31","14:53","18.2","79","","S","7","","27.9","35","","N","11",""
"","2016-03-27","16.4","26.9","0","","","E","30","16:21","19.2","94","","SSE","4","","26.5","54","","E","13",""
"","2016-03-28","16.9","26.7","0","","","ENE","24","15:59","20.1","81","","SSW","7","","25.6","60","","NE","9",""
"","2016-03-29","18.5","24.5","0","","","SSE","19","11:28","20.7","80","","SW","6","","19.7","91","","S","6",""
"","2016-03-30","16.1","27.6","8.2","","","W","26","10:32","19.9","80","","NNW","6","","25.5","30","","WSW","13",""
"","2016-03-31","10.3","26.8","0","","","E","26","15:03","17.1","63","","SW","7","","24.9","39","","ESE","13",""
