"Daily Weather Observations for Canterbury, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2025.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Canterbury Racecourse AWS {station 066194}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.2","29.3","1.2","","","ENE","35","15:14","22.8","75","","SSE","7","","28.8","49","","ENE","19",""
"","2016-03-2","16.8","30.4","0","","","NNE","39","19:44","23.4","72","","N","11","","28.5","52","","ENE","20",""
"","2016-03-3","19.1","30.7","0","","","NE","44","16:09","23.9","81","","N","11","","29.5","50","","NE","22",""
"","2016-03-4","18.9","29.4","0","","","ENE","39","12:09","24.1","75","","NNW","9","","27.6","52","","ENE","26",""
"","2016-03-5","16.8","29.2","0","","","E","39","15:09","23.0","72","","N","9","","28.1","49","","ENE","24",""
"","2016-03-6","16.2","29.4","0","","","NE","44","15:36","22.9","76","","NW","6","","27.9","56","","NE","22",""
"","2016-03-7","17.8","30.9","0","","","ENE","41","15:04","24.5","75","","ESE","6","","28.9","54","","ENE","20",""
"","2016-03-8","18.7","29.3","0","","","ENE","37","12:28","24.8","68","","NNE","11","","28.3","51","","E","22",""
"","2016-03-9","20.3","32.1","0","","","ENE","41","15:31","24.7","74","","N","9","","29.7","52","","ENE","22",""
"","2016-03-10","19.7","28.1","0","","","","","","23.9","85",""," ","Calm","","26.5","73","","SE","22",""
"","2016-03-11","","29.4","0","","","","","","","","","","","","27.1","63","","ENE","22",""
"","2016-03-12","19.3","31.4","0","","","NE","39","18:32","24.4","79","","NW","7","","30.4","50","","E","20",""
"","2016-03-13","20.1","29.6","0","","","NE","35","13:32","24.8","68","","NNE","9","","26.8","55","","ENE","20",""
"","2016-03-14","19.3","31.6","0","","","SE","44","13:39","22.8","87","","NW","6","","26.1","67","","SE","26",""
"","2016-03-15","19.5","25.8","11.2","","","SSE","43","15:51","20.0","90","","SSW","11","","24.1","61","","SSE","24",""
"","2016-03-16","19.3","25.3","9.4","","","SE","39","00:27","20.1","88","","SW","11","","24.8","61","","SSE","20",""
"","2016-03-17","18.3","26.5","6.6","","","ENE","33","13:57","20.4","91","","NW","4","","25.8","57","","ENE","19",""
"","2016-03-18","17.0","28.2","0","","","N","43","14:24","21.8","79","","N","13","","26.4","66","","N","22",""
"","2016-03-19","13.1","22.2","1.8","","","SE","43","14:58","18.0","45","","W","13","","21.5","39","","SSE","20",""
"","2016-03-20","16.4","22.4","0.2","","","S","44","11:45","18.2","63","","SW","9","","17.8","88","","SSE","20",""
"","2016-03-21","15.3","21.3","54.4","","","SSE","39","14:12","15.9","90","","WNW","9","","20.8","62","","SSE","20",""
"","2016-03-22","14.0","23.0","5.0","","","SSW","43","10:39","17.6","72","","WSW","13","","21.5","57","","S","26",""
"","2016-03-23","13.7","25.5","0","","","ESE","28","14:19","17.9","68","","W","9","","23.6","54","","SE","19",""
"","2016-03-24","13.4","28.7","0","","","ENE","37","14:48","18.3","74","","NW","7","","27.5","33","","ENE","19",""
"","2016-03-25","15.8","25.1","0","","","SSE","22","21:57","19.4","79","","NNW","7","","23.0","57","","NNW","11",""
"","2016-03-26","14.9","26.2","0","","","ESE","28","12:16","19.7","77","","WNW","7","","25.3","60","","E","15",""
"","2016-03-27","15.5","25.1","0","","","SE","35","09:54","21.2","86","","SSE","15","","24.2","62","","E","22",""
"","2016-03-28","17.9","25.3","3.2","","","SE","33","15:26","20.5","85","","SE","9","","24.4","69","","ESE","20",""
"","2016-03-29","19.9","22.9","0.2","","","SSE","33","11:39","21.1","82","","S","9","","20.4","89","","S","9",""
"","2016-03-30","17.4","27.3","6.4","","","SW","31","11:21","20.4","79","","W","11","","26.1","33","","WSW","13",""
"","2016-03-31","13.5","24.2","0","","","SE","37","14:41","18.8","57","","WSW","15","","23.8","48","","SSE","19",""
