"Daily Weather Observations for Cessnock, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2027.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.0","30.4","0","","","ESE","50","13:09","22.7","72","","SE","7","1021.4","29.9","47","","ESE","20","1018.6"
"","2016-03-2","14.7","32.3","0","","","SE","31","15:39","22.4","76","","E","6","1020.6","31.3","37","","ESE","11","1018.1"
"","2016-03-3","16.5","33.4","0","","","E","35","17:21","22.3","83","","SE","7","1021.0","32.2","40","","ESE","11","1018.2"
"","2016-03-4","19.4","30.0","0","","","SE","30","12:42","22.9","82","","E","9","1021.1","28.2","59","","ESE","19","1018.7"
"","2016-03-5","15.2","31.4","0","","","E","30","16:32","20.0","89","","ENE","4","1021.0","29.4","48","","SE","7","1018.4"
"","2016-03-6","14.0","32.4","0","","","E","39","16:01","21.7","69","","N","4","1022.2","31.6","38","","E","15","1019.2"
"","2016-03-7","16.5","33.6","0","","","ESE","30","17:09","23.5","77","","S","6","1021.2","32.4","37","","E","7","1017.4"
"","2016-03-8","18.1","31.5","0","","","ESE","41","15:41","23.5","74","","SE","9","1022.4","28.9","55","","SE","24","1020.5"
"","2016-03-9","17.3","34.8","0","","","ESE","28","17:01","22.3","86","","NE","4","1021.5","34.0","36","","NE","15","1017.1"
"","2016-03-10","16.5","34.8","0","","","SSE","31","13:50","22.8","89","","SE","2","1019.5","33.2","39","","SE","20","1016.6"
"","2016-03-11","17.8","34.1","0","","","E","35","13:58","24.0","80","","NNE","2","1019.4","32.8","34","","E","13","1015.8"
"","2016-03-12","17.1","33.9","0","","","E","31","15:47","23.3","79","","ENE","4","1019.1","33.2","37","","ENE","19","1016.4"
"","2016-03-13","18.7","33.2","0","","","SSE","33","15:37","23.6","74","","SE","9","1019.3","31.7","34","","ESE","11","1015.8"
"","2016-03-14","19.1","33.4","0","","","E","30","15:19","23.4","83","","NNW","7","1016.0","30.9","47","","WNW","4","1012.3"
"","2016-03-15","20.1","25.6","6.2","","","SSE","39","10:54","21.0","95","","SW","11","1017.7","25.2","61","","SSE","20","1016.9"
"","2016-03-16","19.0","25.7","1.0","","","E","46","08:19","20.1","94","","ESE","9","1018.2","23.4","73","","S","20","1017.0"
"","2016-03-17","15.9","26.8","1.0","","","","","","21.0","90","","NNE","7","1016.1","24.8","69","","SSE","20","1011.8"
"","2016-03-18","14.8","28.9","","","","NW","37","12:06","18.7","99","","N","9","1004.4","23.3","91","","NNW","13","999.6"
"","2016-03-19","12.2","24.7","2.8","","","SE","35","16:59","17.6","61","","NNW","9","1010.4","24.3","36","","SE","13","1009.5"
"","2016-03-20","10.9","24.1","0","","","SSE","35","14:42","17.9","79","","SSW","6","1016.5","22.1","58","","SSE","20","1014.7"
"","2016-03-21","15.7","23.6","0","","","SSE","35","13:11","17.1","87","","SSW","11","1017.2","21.2","59","","SSE","20","1015.1"
"","2016-03-22","15.2","25.8","1.2","","","S","35","15:48","18.6","69","","SW","15","1016.8","23.8","45","","SSW","17","1013.9"
"","2016-03-23","10.5","27.9","0","","","ENE","28","17:28","18.0","73","","N","9","1017.8","27.1","33","","SSW","9","1016.2"
"","2016-03-24","9.8","31.0","0.2","","","ESE","35","16:09","17.7","81","","NE","4","1020.4","28.4","26","","SE","7","1017.8"
"","2016-03-25","12.0","26.3","0","","","WNW","19","14:02","18.7","82","","NNE","2","1018.3","24.6","55","","WSW","9","1016.4"
"","2016-03-26","12.0","29.1","0","","","SSE","33","15:20","19.1","83",""," ","Calm","1018.0","28.1","46","","ESE","15","1014.7"
"","2016-03-27","13.2","29.5","0","","","E","35","15:18","18.5","92","","NNE","7","1016.9","28.4","50","","SE","20","1014.4"
"","2016-03-28","14.0","30.4","0","","","SE","24","16:02","21.1","86","","ESE","6","1017.5","29.2","40","","NW","6","1013.9"
"","2016-03-29","17.4","29.7","0","","","S","24","12:30","22.2","91","","N","7","1016.6","27.2","60","","SSW","15","1013.5"
"","2016-03-30","17.8","28.1","1.0","","","NW","31","11:18","20.3","62","","NNW","15","1015.2","26.3","38","","WSW","13","1012.2"
"","2016-03-31","10.1","27.9","0","","","S","28","10:10","19.0","55","","N","9","1016.9","25.5","38","","WNW","6","1014.9"
