"Daily Weather Observations for Essendon, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3026.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Essendon Airport, some taken from Melbourne Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Essendon Airport {station 086038}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.3","34.5","0","5.2","10.7","N","46","11:48","18.2","88","1","NE","9","1017.5","34.1","15","6","NNW","24","1014.7"
"","2016-03-2","15.1","36.4","0","10.4","11.4","SSW","50","17:53","22.6","41","2","WSW","2","1016.6","34.9","15","6","SE","13","1014.3"
"","2016-03-3","17.0","25.4","0","8.8","10.5","SSW","31","13:35","18.5","71","7","SSE","17","1021.0","23.9","47","3","S","19","1019.0"
"","2016-03-4","15.1","38.1","0","5.6","10.6","N","46","14:45","20.9","63","2","ESE","7","1017.8","36.5","22","6","NNE","30","1013.0"
"","2016-03-5","19.8","24.7","0","9.2","2.3","S","33","14:45","20.4","87","8","SW","9","1019.3","23.4","68","7","SSW","22","1019.7"
"","2016-03-6","16.5","27.1","0","4.0","8.8","SSW","39","15:36","18.7","82","8","NE","4","1020.3","25.2","60","6","S","26","1017.7"
"","2016-03-7","18.0","24.5","0","6.0","1.2","SW","33","20:52","20.0","84","7"," ","Calm","1019.2","21.1","85","8","SSW","22","1020.6"
"","2016-03-8","19.2","40.4","0","2.4","10.1","N","46","13:34","21.8","82","5","NE","4","1019.3","38.9","17","4","N","24","1014.4"
"","2016-03-9","21.5","31.0","0","17.4","0.3","N","56","06:25","28.1","33","7","W","33","1015.9","23.6","70","7","S","20","1016.9"
"","2016-03-10","17.8","21.2","0.8","3.8","0.0","ESE","26","23:03","18.4","95","8","SSE","11","1021.4","19.0","99","8","SW","13","1019.5"
"","2016-03-11","18.2","28.0","8.6","2.0","9.7","SSW","31","16:39","19.9","100","7"," ","Calm","1017.4","26.2","69","2","S","19","1015.6"
"","2016-03-12","18.4","22.1","0","4.2","0.0","S","28","16:42","20.2","96","8","SSW","4","1019.9","22.0","80","8","SSW","15","1020.2"
"","2016-03-13","17.3","24.7","0.6","0.8","4.4","S","30","15:30","18.0","100","8","ESE","11","1021.0","23.3","69","6","SSW","13","1018.6"
"","2016-03-14","17.2","20.3","0","3.8","0.0","SSE","41","15:11","18.6","84","7","SSE","13","1020.7","19.1","65","7","S","30","1020.3"
"","2016-03-15","13.6","28.2","0","3.0","9.9","SSE","43","15:00","17.3","79","6","W","9","1020.1","26.8","47","5","SE","28","1017.2"
"","2016-03-16","14.4","32.3","0","5.4","9.9","NNE","44","13:31","17.3","82","4","NNW","2","1019.0","30.6","32","6","N","19","1014.4"
"","2016-03-17","17.3","33.3","0","9.0","10.2","N","57","09:38","23.8","51","2","N","33","1012.5","32.2","33","7","N","28","1006.6"
"","2016-03-18","14.2","21.5","10.2","12.0","5.5","SW","80","13:12","14.3","99","8","NW","9","997.7","18.8","42","5","WSW","54","1002.0"
"","2016-03-19","11.4","19.4","4.4","6.2","1.8","W","44","01:04","12.9","92","7","WSW","24","1014.4","16.9","58","7","S","26","1016.4"
"","2016-03-20","10.2","22.5","0","3.2","10.9","S","39","17:36","13.6","66","2","ESE","9","1020.5","21.1","36","1","ESE","9","1019.0"
"","2016-03-21","10.0","23.9","0","4.8","11.4","S","44","16:40","14.1","82","1","SSE","9","1021.3","21.7","50","3","S","24","1019.0"
"","2016-03-22","9.5","25.5","0","5.2","11.2","S","26","14:47","13.9","96","1","NW","9","1019.7","24.6","34","1","SSE","9","1016.1"
"","2016-03-23","12.2","30.7","0","5.8","3.1","WNW","41","12:40","18.8","53","7","N","11","1016.4","27.1","27","7","S","20","1015.1"
"","2016-03-24","16.9","21.6","0","5.2","0.3","S","30","17:22","17.4","90","8","SSE","7","1020.6","21.0","64","7","S","13","1018.7"
"","2016-03-25","15.0","21.1","0","3.2","7.8","SSE","37","15:05","16.0","82","8","SW","13","1020.5","19.5","48","6","S","22","1019.3"
"","2016-03-26","12.6","20.4","0","4.0","0.6","S","35","19:17","15.6","80","7","W","11","1020.1","19.4","61","7","SSE","7","1019.1"
"","2016-03-27","13.6","19.3","1.4","2.2","3.7","S","41","16:18","14.1","89","7","W","9","1021.2","17.5","49","6","S","22","1020.2"
"","2016-03-28","9.4","19.2","0","4.0","3.9","SSE","39","10:43","13.7","61","6","S","9","1020.1","18.4","43","8","SSW","26","1017.8"
"","2016-03-29","13.7","18.4","0","4.6","0.0","S","43","15:07","15.5","57","7","SE","19","1020.5","17.4","55","7","S","30","1019.4"
"","2016-03-30","14.2","18.2","0","4.0","2.3","S","37","12:33","14.3","83","7","SSW","17","1020.4","17.4","50","7","SSW","24","1019.6"
"","2016-03-31","9.4","23.4","0.2","3.2","8.4","SW","33","13:43","14.7","65","3","N","7","1020.1","22.5","47","7","SSE","17","1017.3"
