"Daily Weather Observations for Gelantipy, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3031.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gelantipy {station 084142}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.7","29.5","","","","WNW","39","13:39","18.7","73","","NNE","20","","29.1","25","","NW","15",""
"","2016-03-2","15.5","31.1","0","","","W","33","10:56","19.7","55","","NNE","20","","30.4","20","","W","11",""
"","2016-03-3","12.6","29.1","0","","","NNE","57","20:20","15.5","80","","SSW","11","","27.0","34","","NNE","15",""
"","2016-03-4","14.9","31.4","4.4","","","NNE","30","07:40","20.5","64","","NNE","19","","30.8","30","","NNE","13",""
"","2016-03-5","18.8","33.2","0","","","W","31","10:17","24.2","52","","N","15","","30.0","47","","S","15",""
"","2016-03-6","17.0","33.5","0","","","NW","31","16:27","23.0","59","","NNE","11","","31.4","35","","ESE","11",""
"","2016-03-7","15.5","29.3","0.4","","","SSE","33","12:50","22.6","54","","NE","7","","28.3","43","","S","17",""
"","2016-03-8","15.9","32.5","0","","","NNE","28","05:30","19.7","82","","NE","11","","29.6","38","","SSW","7",""
"","2016-03-9","16.3","30.5","0.2","","","NW","52","08:35","25.5","43","","WNW","28","","28.7","36","","SE","11",""
"","2016-03-10","16.4","25.0","2.8","","","NNE","41","19:44","17.0","99","","NW","7","","23.0","70","","NNE","15",""
"","2016-03-11","16.9","25.2","21.0","","","NNE","31","01:13","17.9","92","","NNE","22","","23.3","75","","ENE","7",""
"","2016-03-12","15.9","24.2","0.6","","","SW","28","14:15","17.4","100","","N","7","","22.2","85","","ENE","6",""
"","2016-03-13","17.1","24.5","13.2","","","SSW","22","15:47","17.8","100",""," ","Calm","","22.7","71","","SSE","11",""
"","2016-03-14","15.5","21.4","0.2","","","S","28","14:13","15.7","98","","S","9","","19.8","75","","S","13",""
"","2016-03-15","12.2","16.2","2.4","","","SE","31","04:28","13.1","98","","SW","4","","14.9","92","","SE","9",""
"","2016-03-16","12.5","21.6","2.2","","","NE","52","10:50","13.6","97","","NNE","22","","20.3","62","","NNE","19",""
"","2016-03-17","12.8","25.6","0","","","NNE","35","20:15","15.4","88","","NNE","24","","23.9","46","","SSW","7",""
"","2016-03-18","15.4","18.2","0.4","","","WSW","72","19:28","17.0","86","","N","26","","14.6","79","","WNW","24",""
"","2016-03-19","6.3","12.3","22.4","","","WSW","46","02:36","8.4","71","","SW","17","","11.2","88","","S","11",""
"","2016-03-20","4.7","14.4","1.2","","","S","22","13:35","7.4","96","","S","6","","13.1","67","","S","9",""
"","2016-03-21","7.1","14.3","2.6","","","SSW","28","13:33","9.5","100","","SW","6","","13.1","90","","S","11",""
"","2016-03-22","7.3","17.6","3.0","","","S","30","14:08","9.6","100","","W","2","","16.0","62","","E","4",""
"","2016-03-23","7.7","20.7","0.2","","","WSW","33","12:19","13.3","83","","NNE","9","","19.6","48","","WSW","15",""
"","2016-03-24","12.2","17.3","0","","","NNE","17","12:22","13.4","81","","N","9","","16.0","75","","NNE","9",""
"","2016-03-25","11.9","17.2","0.2","","","SSW","24","14:44","12.9","100","","SSW","7","","16.8","78","","SSE","13",""
"","2016-03-26","7.2","17.7","0.4","","","SSE","20","14:20","11.1","87","","S","2","","17.3","68","","SSW","9",""
"","2016-03-27","10.0","11.0","0.8","","","SSE","22","15:27","10.0","100","","SW","7","","10.6","96","","S","9",""
"","2016-03-28","8.2","13.2","1.2","","","WSW","19","14:39","8.5","100","","SE","4","","12.0","93","","SW","11",""
"","2016-03-29","8.5","13.1","1.8","","","NNE","19","10:12","9.8","100",""," ","Calm","","12.6","97","","SE","9",""
"","2016-03-30","9.8","11.8","23.0","","","WSW","43","15:22","10.7","100","","SW","9","","11.1","100","","WSW","24",""
"","2016-03-31","7.6","16.4","9.0","","","WSW","31","23:32","9.2","86","","NNE","2","","15.1","73","","S","11",""
