"Daily Weather Observations for Hopetoun, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3090.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Hopetoun, but some from Mildura or Warracknabeal."
"Temperature, humidity, wind, pressure and rainfall observations are from Hopetoun Airport {station 077010}"
"Sunshine observations are from Mildura Airport {station 076031}"
"Cloud observations are from Warracknabeal Museum {station 078077}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.4","35.4","0","","10.8","W","35","14:17","20.3","44","0","ENE","13","1017.1","32.8","17","","SW","9","1015.2"
"","2016-03-2","15.6","40.5","0","","10.0","S","54","22:26","24.7","28","1","ESE","4","1016.8","38.0","11","","NNW","17","1014.2"
"","2016-03-3","18.6","35.9","0","","10.8","SSW","52","23:07","19.7","70","7","SE","13","1018.1","33.7","25","","SSW","6","1016.5"
"","2016-03-4","19.6","40.3","0","","11.2","WNW","39","16:33","27.4","38","1","NNE","17","1014.8","38.1","18","","WNW","17","1012.6"
"","2016-03-5","20.4","39.7","0","","10.0","SE","31","13:07","22.0","63","4","SSE","15","1017.0","38.6","20","","S","9","1014.9"
"","2016-03-6","21.4","41.6","0","","10.2","SE","41","22:00","26.1","47","7","ESE","19","1016.7","40.0","17","","ENE","6","1013.2"
"","2016-03-7","23.4","41.0","0","","11.3","S","59","17:41","26.2","48","5","SE","13","1015.1","38.8","20","","SSE","7","1013.8"
"","2016-03-8","20.0","41.3","0","","10.2","WNW","48","20:14","25.1","52","6","ENE","17","1016.4","39.5","16","","NNE","22","1013.5"
"","2016-03-9","22.9","37.4","0","","6.4","SW","59","16:42","26.0","58","7","WSW","15","1014.7","36.5","26","","WSW","15","1013.4"
"","2016-03-10","20.8","25.6","2.0","","3.8","SSE","33","12:30","20.8","91","8","S","9","1019.8","24.2","74","","SSE","20","1016.8"
"","2016-03-11","18.3","33.2","0.6","","8.6","SW","26","15:46","21.6","84","0","SE","11","1016.7","31.2","44","","S","6","1014.5"
"","2016-03-12","19.4","32.2","0","","9.7","S","31","14:50","21.4","79","7","SSE","13","1019.1","31.1","42","","S","15","1018.0"
"","2016-03-13","16.4","34.3","0","","4.0","SE","28","23:40","18.9","81","4","SSE","17","1018.9","32.8","27","","S","9","1016.6"
"","2016-03-14","16.6","31.4","0","","7.9","SSE","48","21:19","18.8","77","2","SSE","28","1019.1","30.2","31","","SSE","13","1016.5"
"","2016-03-15","13.5","30.6","0","","9.6","SSE","43","00:00","15.9","71","0","SSE","19","1018.6","27.8","29","","W","6","1016.0"
"","2016-03-16","15.6","34.5","0","","8.6","NE","30","09:06","21.3","45","5","ENE","13","1016.0","33.1","24","","N","7","1013.0"
"","2016-03-17","20.3","34.9","0","","10.4","W","70","22:12","24.0","49","5","NNE","7","1011.3","32.0","31","","NNE","20","1005.2"
"","2016-03-18","13.7","21.2","4.8","","10.5","WSW","76","03:49","13.9","82","4","WSW","41","1003.8","20.2","48","","WSW","44","1007.3"
"","2016-03-19","8.0","20.9","0","","11.1","SW","37","14:58","11.4","88","7","SW","13","1017.2","19.6","48","","S","17","1017.0"
"","2016-03-20","9.0","22.6","0","","11.0","SSE","48","11:26","12.5","71","7","SSE","13","1020.8","21.1","35","","S","15","1018.8"
"","2016-03-21","10.6","26.5","0","","11.0","ESE","28","09:09","13.8","75","0","SE","19","1020.2","24.7","29","","SE","7","1017.6"
"","2016-03-22","10.9","29.0","0","","10.5","NNW","24","14:31","14.4","75","0","E","11","1018.6","27.1","25","","NE","6","1015.7"
"","2016-03-23","13.9","30.7","0","","7.3","WSW","37","15:28","19.1","40","7","N","6","1016.7","29.0","18","","NW","19","1015.7"
"","2016-03-24","17.2","28.9","0","","3.8","SW","39","12:41","17.4","75","7","WSW","11","1019.9","27.0","34","","SW","17","1017.9"
"","2016-03-25","12.8","24.6","0","","9.8","SW","37","15:29","13.8","80","3","SSW","22","1021.6","22.7","32","","SSW","19","1019.8"
"","2016-03-26","7.8","24.2","0","","10.5","WSW","37","14:00","13.2","79","2","SW","6","1022.0","22.9","42","","SW","20","1020.2"
"","2016-03-27","10.1","22.3","0","","8.7","SSE","33","09:11","13.1","80","7","S","11","1022.2","20.8","40","","SSW","19","1019.8"
"","2016-03-28","11.3","20.1","0","","7.2","SSW","41","15:28","12.1","67","7","S","9","1020.4","19.4","35","","SSW","19","1018.0"
"","2016-03-29","9.0","22.5","0","","4.7","SSE","37","12:48","11.8","75","3","S","13","1020.9","21.0","32","","S","24","1018.4"
"","2016-03-30","8.0","21.7","0","","10.5","SSW","57","13:25","11.8","60","7","SSW","9","1022.5","20.5","33","","SSW","22","1020.6"
"","2016-03-31","5.4","24.8","0","","11.0","WSW","24","12:33","10.0","71","1"," ","Calm","1021.5","22.8","42","","SW","11","1018.5"
