"Daily Weather Observations for Inverell, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2064.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Inverell Research Centre {station 056018}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.8","31.5","0","8.0","9.8","E","39","09:42","23.1","55","2","E","15","1018.6","30.0","35","","NNE","13","1016.2"
"","2016-03-2","16.9","33.3","0","7.6","11.2","E","35","19:04","22.4","52","1","ENE","9","1020.4","31.2","23","","NNW","13","1016.9"
"","2016-03-3","17.7","32.5","0","8.0","8.4","E","35","19:25","21.7","73","4","E","7","1021.1","30.2","24","","ESE","13","1017.7"
"","2016-03-4","16.3","31.4","0","8.0","11.3","E","35","18:56","20.6","68","2","E","9","1020.9","29.7","32","","NNE","9","1016.6"
"","2016-03-5","16.4","32.4","0","4.0","9.4","E","33","17:34","21.0","69","3","ESE","4","1020.6","31.0","27","","S","11","1016.7"
"","2016-03-6","15.4","30.4","0","6.6","11.6","E","37","13:47","20.4","68","3","NE","9","1020.9","29.1","26","","E","19","1017.9"
"","2016-03-7","16.2","31.0","0","8.0","","ENE","30","16:30","22.2","63","2","E","9","1020.7","30.2","34","","ENE","7","1017.3"
"","2016-03-8","15.1","30.9","0","8.0","10.0","E","39","12:40","21.4","57","1","SSE","9","1021.1","29.8","35","","E","22","1018.1"
"","2016-03-9","18.4","31.5","0","8.0","10.2","ENE","35","12:44","23.2","59","1","ENE","13","1021.9","29.7","36","","NNE","17","1018.0"
"","2016-03-10","16.1","33.1","0","5.2","11.0","E","28","19:22","22.1","60","1","ENE","7","1021.2","31.4","17","","N","9","1016.9"
"","2016-03-11","18.3","30.2","0","8.0","4.4","E","24","19:23","22.2","61","4","ENE","13","1020.0","29.5","30","","SSE","7","1016.4"
"","2016-03-12","17.6","32.3","0","2.8","8.7","ENE","33","19:08","21.7","67","0","E","9","1019.5","30.3","30","","NNW","7","1015.6"
"","2016-03-13","15.3","33.0","0","5.4","11.0","E","39","18:21","21.2","66","1","ESE","13","1018.9","31.5","24","","ESE","11","1014.8"
"","2016-03-14","17.0","33.2","0","8.0","7.8","SSW","48","16:08","22.6","65","1","SSE","9","1016.7","31.4","29","","SW","13","1011.6"
"","2016-03-15","16.3","29.9","0","8.2","7.0","SSW","28","14:05","21.0","70","1","E","7","1014.9","27.8","43","","S","15","1012.2"
"","2016-03-16","16.4","28.8","1.8","3.2","4.8","E","35","20:17","21.2","63","4","E","9","1015.0","27.7","40","","W","7","1012.0"
"","2016-03-17","17.0","29.5","0.2","6.6","4.7","ENE","26","19:35","20.6","65","4","ESE","9","1013.9","28.6","35","","W","9","1009.1"
"","2016-03-18","16.1","29.7","0","4.0","6.2","NW","37","12:18","20.5","70","1","N","15","1008.8","28.2","45","","NW","20","1003.5"
"","2016-03-19","17.3","27.6","11.8","2.6","5.9","WNW","31","12:58","17.6","93","8","SW","15","1008.3","25.9","31","","W","13","1006.9"
"","2016-03-20","15.4","28.2","0.2","5.4","","E","35","17:51","20.1","66","2","ENE","13","1012.1","27.2","32","","NW","15","1009.0"
"","2016-03-21","14.9","27.5","0","8.0","9.7","ESE","41","17:43","19.8","67","","ESE","9","1012.7","25.6","36","","SW","11","1008.7"
"","2016-03-22","12.1","25.5","0","3.4","6.6","S","26","12:43","17.2","61","1","SE","9","1013.4","23.7","32","","SW","9","1010.7"
"","2016-03-23","12.8","27.3","0","3.6","","WNW","22","12:30","17.3","72","6","SSE","9","1016.9","25.8","30","","W","13","1014.3"
"","2016-03-24","12.5","28.3","0","","","N","28","09:40","17.9","69","","E","9","1020.7","27.1","30","","ESE","13","1017.0"
"","2016-03-25","13.8","29.3","0","","","NW","30","13:01","18.6","70","","NNE","9","1019.5","28.2","31","","W","11","1015.3"
"","2016-03-26","17.1","30.2","0","","","N","35","16:52","20.7","62","","N","11","1016.8","28.1","27","","WSW","11","1013.2"
"","2016-03-27","15.9","29.6","0","","","ESE","28","18:24","19.9","74","","NNE","9","1016.4","28.4","16","","WNW","11","1013.1"
"","2016-03-28","13.6","29.4","0","","","NNW","26","10:03","18.7","74","","ENE","11","1018.4","28.9","26","","NW","13","1014.5"
"","2016-03-29","15.3","29.5","0","","","N","33","12:02","17.8","84","","NNE","11","1018.8","27.5","","","NNW","20","1015.0"
"","2016-03-30","16.3","24.4","5.2","","10.9","WNW","28","13:37","17.0","","","SSW","6","1017.6","23.7","","","WNW","15","1014.1"
"","2016-03-31","10.7","26.3","1.6","","9.2","SSE","31","11:51","16.1","","0","ENE","6","1017.2","24.6","22","","SSW","11","1014.3"
