"Daily Weather Observations for Mallacoota, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3046.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Mallacoota, cloud taken from Gabo Island."
"Temperature, humidity, wind, pressure and rainfall observations are from Mallacoota {station 084084}"
"Cloud observations are from Gabo Island Lighthouse {station 084016}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.3","27.6","0","","","NNE","44","21:26","23.3","71","4","NNE","15","1020.6","26.6","57","2","NE","22","1017.0"
"","2016-03-2","20.6","28.3","0","","","NNW","35","00:01","23.0","80","6","N","13","1016.7","26.1","68","1","SSW","11","1015.8"
"","2016-03-3","20.3","26.5","0","","","WSW","31","07:49","22.6","72","4","WSW","17","1020.8","21.8","76","6","ENE","7","1019.2"
"","2016-03-4","17.2","29.4","0","","","N","37","21:27","23.8","82","2","NNW","7","1018.6","24.7","79","2","S","17","1016.9"
"","2016-03-5","21.3","31.9","0","","","S","37","12:52","24.9","68","4","NNW","19","1016.8","23.8","77","7","S","24","1017.9"
"","2016-03-6","19.6","26.7","0","","","S","30","12:43","22.5","82","","NW","9","1019.6","24.3","78","2","SSW","17","1017.8"
"","2016-03-7","20.0","26.9","0","","","S","35","14:18","24.1","77","1","N","15","1018.0","23.7","83","1","S","24","1019.6"
"","2016-03-8","17.6","30.2","0","","","N","50","22:12","23.1","89","7","NE","9","1022.2","27.1","62","1","NE","22","1019.7"
"","2016-03-9","20.8","32.1","0","","","N","48","23:03","23.8","60","2","N","20","1015.5","24.6","65","8","S","6","1015.0"
"","2016-03-10","18.9","24.1","0.2","","","ENE","22","15:40","20.7","88","8","WNW","6","1023.1","22.6","81","8","E","9","1020.7"
"","2016-03-11","20.6","25.6","0.6","","","NNW","22","00:38","22.2","90","8","N","11","1017.1","23.6","76","5","SSE","9","1016.0"
"","2016-03-12","17.5","24.1","0.4","","","S","26","11:37","20.9","92","8","W","11","1019.6","22.4","79","7","SSW","15","1019.6"
"","2016-03-13","20.5","25.1","0","","","ESE","17","15:44","21.8","87","3","WNW","4","1020.6","23.4","79","3","SSE","7","1018.1"
"","2016-03-14","19.1","23.7","6.2","","","SE","35","21:59","20.9","91","7","SW","13","1018.2","22.2","76","1","S","19","1018.0"
"","2016-03-15","18.5","20.9","0","","","ESE","37","08:16","19.7","74","8","SE","19","1022.9","20.8","66","7","SE","15","1022.8"
"","2016-03-16","17.0","22.9","0.6","","","ENE","28","17:28","19.3","74","7","N","6","1022.7","20.9","72","7","E","17","1020.6"
"","2016-03-17","14.6","25.5","0","","","ENE","31","14:06","19.6","78","1","NNE","9","1016.0","22.3","67","1","NE","22","1010.9"
"","2016-03-18","19.4","20.5","0.6","","","W","69","11:43","19.4","85","8","N","17","995.4","15.1","89","7","SW","13","992.5"
"","2016-03-19","12.9","19.8","14.2","","","SW","54","04:11","15.2","61","5","WSW","24","1009.3","17.2","57","7","SW","31","1012.9"
"","2016-03-20","12.0","20.3","4.0","","","SSW","31","18:53","15.0","83","2","SW","13","1020.0","19.4","51","3","SSW","15","1019.5"
"","2016-03-21","12.5","20.0","0.6","","","S","43","21:25","14.2","92","5","W","13","1020.8","18.2","74","4","SW","15","1019.4"
"","2016-03-22","13.7","20.6","1.8","","","S","43","10:05","15.7","82","7","W","11","1020.3","19.4","65","7","SSW","15","1018.3"
"","2016-03-23","10.7","21.3","0.8","","","SE","52","14:05","14.6","85","3","NW","13","1016.9","20.0","62","7","SE","9","1015.9"
"","2016-03-24","14.4","19.9","0","","","WSW","20","08:36","17.2","72","8","WNW","13","1020.5","19.3","76","8","NW","2","1019.4"
"","2016-03-25","16.1","21.1","0","","","WSW","43","14:41","18.3","87","8","WSW","11","1017.7","19.2","69","6","SW","15","1017.0"
"","2016-03-26","13.1","22.1","0","","","WSW","35","10:36","16.3","69","1","W","13","1018.5","21.5","54","1","WSW","13","1016.8"
"","2016-03-27","14.6","19.6","0","","","SSW","41","13:59","16.2","80","6","W","13","1019.7","18.6","54","6","SSW","24","1019.2"
"","2016-03-28","14.5","18.3","0","","","S","19","16:04","15.3","69","8","WNW","9","1020.9","18.0","68","8","S","11","1018.2"
"","2016-03-29","14.9","19.4","0","","","S","15","11:07","15.7","82","8","WNW","9","1020.6","18.8","77","8","W","2","1019.0"
"","2016-03-30","15.5","17.1","9.6","","","SSW","44","12:12","15.7","92","8","WSW","17","1014.9","15.1","94","8","SW","22","1013.5"
"","2016-03-31","12.9","21.5","41.0","","","WNW","39","04:45","15.4","70","2","W","19","1017.5","20.7","53","3","SW","17","1016.4"
