"Daily Weather Observations for Mangalore, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3047.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mangalore Airport {station 088109}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.9","33.0","0","","","N","37","12:36","18.1","87","","SW","2","1018.5","31.5","23","","NW","20","1015.7"
"","2016-03-2","13.2","36.8","0","","","SSW","46","20:48","19.8","47","","SW","7","1017.6","34.8","14","","NW","11","1015.6"
"","2016-03-3","19.1","34.4","0","","","SSW","35","01:35","19.2","74","8","SSW","19","1018.8","32.2","29","","SW","17","1016.5"
"","2016-03-4","15.7","37.5","0","","","W","59","17:08","26.2","43","","NE","19","1018.6","35.6","23","1","NNE","24","1014.8"
"","2016-03-5","18.6","35.7","4.0","","","SSW","35","18:33","20.9","83","","SSW","15","1018.0","34.7","30","1","SSW","13","1016.5"
"","2016-03-6","17.0","38.5","0","","","SSW","33","19:59","20.3","73","","SSW","17","1019.1","37.1","20","","NW","17","1015.6"
"","2016-03-7","19.3","37.6","0","","","SSW","43","14:45","24.7","59","7","SSW","7","1018.1","30.8","42","2","SSW","26","1016.6"
"","2016-03-8","18.2","38.4","0","","","NNE","39","10:11","22.5","71","","SSW","6","1019.1","37.3","19","","N","19","1016.1"
"","2016-03-9","22.5","37.4","0","","","SW","65","20:18","26.8","38","","NE","31","1015.7","35.6","22","","ENE","9","1013.9"
"","2016-03-10","19.4","25.6","0.8","","","WSW","43","14:44","21.1","86","8","S","13","1019.5","20.7","86","8","SW","26","1017.5"
"","2016-03-11","19.2","31.7","10.4","","","W","50","16:32","21.3","99","8"," ","Calm","1017.3","29.6","46","2","N","9","1015.0"
"","2016-03-12","18.9","31.4","0","","","SSW","35","17:21","20.9","83","","SSW","11","1018.9","30.6","47","","SW","19","1017.5"
"","2016-03-13","17.4","31.8","0","","","SSW","31","16:30","20.1","77","","S","20","1019.4","30.3","29","","SW","17","1016.5"
"","2016-03-14","17.6","27.2","0","","","S","50","08:22","20.2","67","","S","30","1018.6","25.4","44","","SSW","26","1016.6"
"","2016-03-15","14.0","31.5","0","","","NNE","41","13:53","17.8","67","4","SSW","17","1018.5","29.2","30","2","NNE","20","1015.8"
"","2016-03-16","15.3","30.7","0","","","N","35","11:46","19.3","65","","SE","7","1018.7","30.3","36","","NNW","15","1015.2"
"","2016-03-17","18.1","31.3","0","","","NE","39","08:04","23.0","53","7","NE","22","1014.7","28.8","37","","N","20","1008.3"
"","2016-03-18","14.5","20.0","12.6","","","WSW","80","07:33","14.6","86","8","SW","39","997.5","19.1","54","4","SW","31","1001.8"
"","2016-03-19","8.1","19.0","6.0","","","SSE","39","21:21","10.3","88","8","W","6","1014.7","16.8","53","8","SSW","19","1015.6"
"","2016-03-20","9.6","23.2","0","","","S","30","00:16","12.1","64","","SSW","17","1019.5","21.3","36","","E","6","1017.9"
"","2016-03-21","9.9","24.8","0","","","SSE","31","13:56","12.5","76","","SSW","17","1020.4","23.5","30","","SSE","20","1017.7"
"","2016-03-22","11.0","25.9","0","","","NNW","20","10:52","13.1","82","","SSW","9","1019.5","24.5","32","","ESE","9","1016.4"
"","2016-03-23","10.0","27.7","0","","","SW","26","21:07","13.2","82","6"," ","Calm","1018.0","26.1","30","8","N","9","1016.5"
"","2016-03-24","13.2","24.4","0","","","SW","26","16:14","17.6","91","8"," ","Calm","1019.8","23.7","44","8","E","7","1017.8"
"","2016-03-25","14.3","23.2","0.2","","","S","37","15:22","16.0","78","","SSW","15","1019.2","22.3","44","","S","20","1018.0"
"","2016-03-26","10.5","22.4","0","","","S","41","14:50","13.5","82","1","S","11","1019.9","21.6","49","1","SSW","22","1018.4"
"","2016-03-27","12.8","21.9","0","","","S","48","09:13","15.2","65","","S","28","1019.5","20.8","34","","S","24","1018.1"
"","2016-03-28","10.3","22.1","0","","","S","41","16:38","13.5","60","1","S","20","1018.0","21.1","41","8","WSW","17","1015.5"
"","2016-03-29","13.4","23.2","0","","","SW","43","15:43","14.5","61","8","S","20","1018.5","22.3","39","2","SW","20","1016.2"
"","2016-03-30","11.4","20.5","0","","","S","43","13:01","14.2","70","8","S","17","1019.0","19.5","50","8","S","24","1017.9"
"","2016-03-31","7.6","23.8","0","","","SSW","35","13:49","11.8","72","","SW","11","1019.8","23.2","37","","SW","13","1016.8"
