"Daily Weather Observations for Mildura, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3051.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.2","36.9","0","8.0","10.8","NE","22","09:06","22.2","34","0","ENE","9","1017.6","35.0","10","3","WSW","9","1014.6"
"","2016-03-2","20.1","41.0","0","8.8","10.0","S","28","20:33","24.7","26","5","WSW","2","1016.6","39.6","7","3","W","13","1014.1"
"","2016-03-3","21.6","38.7","0","12.0","10.8","SE","31","21:46","24.8","48","2","S","13","1017.7","36.0","20","3","NE","9","1015.3"
"","2016-03-4","22.8","38.7","0","10.0","11.2","NW","30","12:23","25.2","38","3","WNW","11","1015.9","36.3","20","6","NNW","15","1013.6"
"","2016-03-5","24.1","41.0","0","10.4","10.0","ENE","35","17:47","28.1","32","1","SSE","13","1015.8","40.0","16","3","W","15","1014.1"
"","2016-03-6","24.9","42.1","0","11.6","10.2","E","35","16:41","29.6","38","3","ENE","11","1015.4","40.6","13","7","NNW","11","1012.6"
"","2016-03-7","22.7","41.0","0","9.0","11.3","NW","30","12:19","26.8","47","3","WNW","11","1014.9","39.5","17","3","WNW","13","1013.6"
"","2016-03-8","21.4","40.8","0","10.4","10.2","N","43","13:05","29.3","28","4","NE","13","1016.1","39.0","17","6","NNW","19","1013.6"
"","2016-03-9","24.0","37.6","0","10.6","6.4","SSW","39","17:41","28.8","42","7","S","11","1014.7","36.9","24","6","WNW","13","1013.6"
"","2016-03-10","22.9","30.2","0","11.2","3.8","SSE","43","08:44","23.3","75","","S","15","1017.1","28.6","48","6","ESE","13","1015.5"
"","2016-03-11","19.6","35.2","0","4.0","8.6","SW","28","14:34","22.6","75","3"," ","Calm","1016.5","33.4","31","2","SE","11","1014.0"
"","2016-03-12","22.1","36.8","0","8.0","9.7","S","35","19:51","23.9","65","2","S","15","1018.3","35.8","26","4","SW","15","1016.2"
"","2016-03-13","21.2","32.2","0","11.2","4.0","N","30","14:02","22.5","66","7","SSE","15","1017.8","31.6","36","6","N","15","1016.9"
"","2016-03-14","19.3","34.5","0","4.8","7.9","SSE","35","20:08","20.9","63","2","SSE","20","1017.4","32.4","28","6","SE","17","1015.0"
"","2016-03-15","17.4","31.5","0","10.6","9.6","SSE","35","23:30","17.5","54","7","SE","13","1018.6","28.4","28","2","SW","9","1015.8"
"","2016-03-16","16.0","35.1","0","5.6","8.6","E","31","15:02","22.3","47","1","ESE","11","1015.3","33.4","27","4","ENE","9","1012.2"
"","2016-03-17","20.2","35.4","0","6.8","10.4","NW","57","18:31","24.6","56","2","NE","11","1010.8","34.9","29","3","NW","11","1005.3"
"","2016-03-18","15.6","23.5","0.4","10.0","10.5","WSW","69","04:52","16.2","66","1","WSW","26","1007.3","21.6","31","4","SW","31","1008.5"
"","2016-03-19","8.9","23.6","0","7.2","11.1","S","37","15:17","12.4","76","1","SSW","13","1017.9","21.8","31","3","S","20","1016.3"
"","2016-03-20","10.2","23.6","0","7.4","11.0","SSE","37","14:27","13.0","67","0","SSE","17","1020.2","21.6","29","0","SSW","19","1018.1"
"","2016-03-21","10.1","27.5","0","7.6","11.0","SE","33","13:12","13.9","62","0","SSE","13","1019.6","26.4","24","0","SE","19","1016.4"
"","2016-03-22","9.4","29.9","0","5.8","10.5","NE","24","11:58","16.2","51","0","SE","7","1018.1","28.3","18","0","NNE","9","1015.3"
"","2016-03-23","15.4","32.1","0","5.6","7.3","S","31","19:07","19.2","34","7","N","9","1017.1","30.6","14","6","NNW","13","1016.1"
"","2016-03-24","17.7","30.2","0","6.6","3.8","NW","30","12:28","19.8","62","7","S","9","1020.2","28.9","29","7","W","13","1018.3"
"","2016-03-25","17.8","27.1","0","5.6","9.8","WSW","31","12:49","18.2","78","7","SSW","13","1021.1","26.4","33","","SSW","13","1019.2"
"","2016-03-26","10.7","25.7","0","8.0","10.5","SSW","28","00:42","13.7","72","0","S","9","1021.9","24.1","34","0","SW","17","1020.2"
"","2016-03-27","12.8","24.6","0","4.0","8.7","SSW","31","12:31","15.4","73","3","S","13","1021.7","22.6","37","","S","11","1019.0"
"","2016-03-28","12.5","24.2","0","8.0","7.2","S","30","16:44","13.2","61","8","SSE","7","1019.5","23.1","29","7","SW","15","1017.1"
"","2016-03-29","12.9","20.9","0","5.6","4.7","SSW","28","11:37","15.3","54","7","SSE","13","1020.6","19.9","37","8","SW","15","1019.0"
"","2016-03-30","8.5","22.7","0","1.6","10.5","SSW","41","10:15","11.8","57","0","SSW","13","1022.9","22.0","25","1","SSW","20","1020.6"
"","2016-03-31","8.3","24.9","0","6.6","11.0","NW","20","13:23","12.0","70","0","SSE","9","1021.9","23.6","29","","ENE","7","1018.8"
