"Daily Weather Observations for Murrurundi, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2090.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Murrurundi, but some from Murrurundi Gap."
"Temperature, humidity, cloud and rainfall observations are from Murrurundi Post Office {station 061051}"
"Wind and pressure observations are from Murrurundi Gap AWS {station 061392}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","9.3","31.1","0","","","SSE","46","23:04","18.0","73","0","SSE","20","1019.3","","","","SSE","19","1017.7"
"","2016-03-2","12.0","33.3","0","","","SSE","43","16:57","19.1","85","5","SE","9","1020.7","","","","S","11","1018.3"
"","2016-03-3","12.0","33.7","0","","","SSE","43","13:57","18.0","73","3","NW","11","1020.9","","","","SSE","26","1018.4"
"","2016-03-4","13.1","31.4","0","","","SSE","39","19:09","21.0","81","3","ESE","15","1020.7","","","","SE","20","1017.7"
"","2016-03-5","14.3","32.7","0","","","SSE","33","15:20","17.7","95","8"," ","Calm","1020.7","","","","SSE","19","1018.1"
"","2016-03-6","11.1","32.8","0","","","SSE","37","16:24","17.2","91","0","ESE","9","1021.6","","","","SE","19","1018.8"
"","2016-03-7","13.6","32.9","0","","","SE","33","19:09","20.0","81","0","N","17","1021.3","","","","SSE","15","1018.1"
"","2016-03-8","13.8","31.7","0","","","SSE","44","19:27","18.7","95","8","SE","17","1021.8","","","","SE","26","1019.2"
"","2016-03-9","14.8","33.9","0","","","SW","39","14:50","20.9","82","4","N","20","1022.0","","","","WSW","9","1018.6"
"","2016-03-10","17.9","33.8","0","","","WNW","31","08:34","26.2","55","6","NNW","20","1020.7","","","","ESE","13","1017.4"
"","2016-03-11","15.9","33.5","0","","","SSE","41","19:15","19.4","94","8","SE","7","1019.5","","","","ESE","13","1016.6"
"","2016-03-12","15.4","33.4","0","","","SSE","43","16:02","22.0","76","3","N","11","1019.3","","","","SSE","28","1016.9"
"","2016-03-13","14.9","32.9","0","","","SSE","33","19:07","19.2","93","8","SE","17","1019.3","","","","SE","19","1016.0"
"","2016-03-14","15.9","34.6","0","","","SE","50","20:21","24.8","62","6","NNW","26","1016.5","","","","SE","9","1014.7"
"","2016-03-15","16.1","27.7","0.2","","","SSE","54","15:40","19.5","97","8","SE","26","1016.6","","","","S","30","1015.1"
"","2016-03-16","18.1","25.7","0","","","SSE","50","14:10","19.1","88","8","SE","31","1016.3","","","","SSE","30","1014.6"
"","2016-03-17","12.9","26.7","0","","","SSE","43","23:11","16.1","99","8","SSE","17","1015.2","","","","NNW","11","1010.9"
"","2016-03-18","13.6","26.8","0","","","NNW","61","10:32","22.4","66","5","NNW","33","1005.9","","","","NNW","33","1002.2"
"","2016-03-19","8.3","24.6","15.2","","","SE","39","21:13","12.7","85","3","SE","17","1009.4","","","","SW","11","1008.3"
"","2016-03-20","10.0","23.9","0","","","SSE","56","17:01","15.5","79","7","SSE","33","1013.4","","","","SSE","33","1011.4"
"","2016-03-21","14.6","21.4","0","","","SSE","57","18:12","15.7","83","8","S","31","1014.2","","","","SSE","33","1012.6"
"","2016-03-22","12.4","23.7","0.4","","","SSE","50","22:59","15.2","84","8","S","33","1014.9","","","","S","30","1012.6"
"","2016-03-23","8.6","25.8","0","","","SE","48","23:38","12.4","95","0","SSE","20","1016.6","","","","S","11","1015.8"
"","2016-03-24","7.0","29.9","0","","","NNW","35","11:03","12.9","77","0","NNW","9","1019.7","","","","SSE","9","1017.7"
"","2016-03-25","8.4","28.2","0","","","NW","44","10:48","18.1","69","3","NNW","24","1018.2","","","","NW","11","1016.1"
"","2016-03-26","8.9","28.9","0","","","SSE","35","15:41","15.0","83","0","SE","19","1017.0","","","","S","15","1014.1"
"","2016-03-27","10.6","30.1","0","","","SSE","35","20:48","15.0","91","0","SE","7","1016.5","","","","SE","11","1013.8"
"","2016-03-28","13.5","30.0","0","","","NNW","43","14:23","16.2","91","6","N","20","1017.3","","","","NW","20","1014.5"
"","2016-03-29","14.4","28.9","0","","","NNW","57","10:25","22.4","62","5","N","20","1016.6","","","","NW","37","1013.8"
"","2016-03-30","14.0","22.8","0","","","NNW","46","12:01","16.7","82","7","NW","19","1016.0","","","","NNW","30","1013.5"
"","2016-03-31","6.1","26.9","0","","","NNW","30","14:51","10.1","93","0","NNW","11","1016.7","","","","NW","17","1014.7"
