"Daily Weather Observations for Tenterfield, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2131.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tenterfield (Federation Park) {station 056032}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.5","20.9","0","","","","","","18.5","82","7","E","15","","","","","","",""
"","2016-03-2","15.6","26.6","7.0","","","","","","19.2","85","8","NNE","19","","","","","","",""
"","2016-03-3","16.2","26.3","0.4","","","","","","19.6","81","6","E","11","","","","","","",""
"","2016-03-4","12.5","25.6","0","","","","","","18.5","83","6","E","15","","","","","","",""
"","2016-03-5","13.0","24.1","0","","","","","","17.4","80","7","ESE","15","","","","","","",""
"","2016-03-6","10.9","","0","","","","","","17.0","92","8","E","19","","","","","","",""
"","2016-03-7","15.1","24.5","0","","","","","","18.1","88","8","NE","17","","","","","","",""
"","2016-03-8","12.1","24.1","0","","","","","","18.5","84","7","SE","15","","","","","","",""
"","2016-03-9","17.0","25.8","2.2","","","","","","19.1","90","7","E","11","","","","","","",""
"","2016-03-10","11.2","27.3","0","","","","","","16.3","94","7","SE","4","","","","","","",""
"","2016-03-11","14.1","26.3","0","","","","","","18.9","90","8","E","9","","","","","","",""
"","2016-03-12","13.8","25.9","0","","","","","","19.1","79","7","E","15","","","","","","",""
"","2016-03-13","14.5","25.6","0","","","","","","18.4","89","7","E","9","","","","","","",""
"","2016-03-14","16.9","27.0","0.9","","","","","","19.1","85","8","E","9","","","","","","",""
"","2016-03-15","16.2","25.0","1.0","","","","","","19.5","76","5","E","22","","","","","","",""
"","2016-03-16","16.2","25.1","0","","","","","","18.9","81","7","ESE","19","","","","","","",""
"","2016-03-17","15.9","25.2","0","","","","","","18.6","78","7","ESE","11","","","","","","",""
"","2016-03-18","10.3","30.0","0","","","","","","18.0","77","0"," ","Calm","","","","","","",""
"","2016-03-19","14.5","27.8","1.8","","","","","","20.1","88","8","WNW","11","","","","","","",""
"","2016-03-20","11.9","20.8","0","","","","","","18.2","77","7","ESE","15","","","","","","",""
"","2016-03-21","14.6","22.3","0","","","","","","16.3","88","8","E","17","","","","","","",""
"","2016-03-22","10.8","22.7","18.0","","","","","","15.1","81","5","E","9","","","","","","",""
"","2016-03-23","11.4","25.6","4.6","","","","","","14.5","91","6","E","7","","","","","","",""
"","2016-03-24","11.4","26.8","0","","","","","","17.6","76","1","E","11","","","","","","",""
"","2016-03-25","11.7","27.7","0","","","","","","16.6","84","4","E","11","","","","","","",""
"","2016-03-26","14.5","26.4","0","","","","","","19.1","80","5","E","15","","","","","","",""
"","2016-03-27","13.2","24.6","0.2","","","","","","16.1","91","7"," ","Calm","","","","","","",""
"","2016-03-28","12.5","25.2","3.6","","","","","","17.1","87","8","E","9","","","","","","",""
"","2016-03-29","13.6","27.8","13.2","","","","","","19.2","82","2","W","4","","","","","","",""
"","2016-03-30","14.6","20.2","7.8","","","","","","18.6","92","8","WSW","7","","","","","","",""
"","2016-03-31","9.6","24.4","11.2","","","","","","14.5","97","0","WNW","7","","","","","","",""
