"Daily Weather Observations for Wangaratta, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3081.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Wangaratta Aero {station 082138}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","9.3","34.9","0","","","N","41","10:24","20.0","57","","SSE","7","1019.1","33.8","17","","N","20","1015.7"
"","2016-03-2","12.7","37.1","0","","","N","22","15:37","20.9","43","","S","7","1018.2","35.0","9","","SE","7","1015.8"
"","2016-03-3","14.8","37.7","0","","","NNE","43","16:36","21.1","44","","SW","9","1019.1","35.9","14","","NNE","13","1015.6"
"","2016-03-4","14.0","37.2","0","","","NNE","39","14:26","21.9","56","","SSE","7","1019.6","34.7","19","","N","15","1015.9"
"","2016-03-5","19.2","38.5","0","","","N","41","12:35","27.7","43","","ESE","6","1018.9","37.1","19","","NW","15","1016.2"
"","2016-03-6","20.6","38.1","0","","","NNE","31","11:20","24.2","60","","NE","24","1018.4","36.8","17","","NNE","17","1016.3"
"","2016-03-7","16.6","38.7","0","","","N","31","13:36","26.6","43","","ESE","6","1019.1","37.4","17","","E","7","1016.3"
"","2016-03-8","18.3","38.0","0","","","NNE","31","11:13","26.3","51","","ENE","6","1019.8","36.3","16","","N","15","1016.9"
"","2016-03-9","17.3","37.0","0","","","NE","37","09:08","27.5","40","","NNE","17","1018.2","35.1","22","","NE","11","1014.8"
"","2016-03-10","22.7","36.4","0","","","W","63","17:27","24.4","65","","S","11","1019.0","33.9","25","","ENE","19","1014.9"
"","2016-03-11","19.1","32.2","0.2","","","ENE","24","12:52","22.1","82","","SSW","7","1017.2","30.7","41","","NE","11","1014.9"
"","2016-03-12","18.7","32.6","4.0","","","SW","26","15:59","21.9","88","","ESE","7","1018.9","31.3","42","","N","6","1016.5"
"","2016-03-13","15.2","34.7","0","","","W","35","16:30","22.1","68","","SSE","9","1018.7","33.2","27","","SW","17","1015.2"
"","2016-03-14","13.0","34.4","0","","","SW","43","14:59","21.1","53","","S","9","1016.8","32.4","20","","SW","15","1013.9"
"","2016-03-15","14.2","31.3","0","","","ESE","41","11:18","22.0","54","","SE","15","1018.2","30.2","31","","NNW","9","1015.6"
"","2016-03-16","14.2","31.2","0","","","NNE","46","14:56","21.1","56","","E","9","1019.0","30.1","27","","NNW","11","1015.4"
"","2016-03-17","11.8","32.1","0","","","NNW","39","15:59","19.4","64","","S","6","1015.4","31.5","30","","NE","13","1008.9"
"","2016-03-18","17.4","20.7","6.6","","","WSW","91","08:58","20.4","97","","NW","15","994.6","19.3","65","","W","31","1000.6"
"","2016-03-19","9.3","20.7","8.8","","","SSW","37","14:53","13.3","70","","SW","17","1013.8","19.6","43","","SSW","20","1014.2"
"","2016-03-20","7.7","24.2","0","","","ESE","28","16:21","13.2","60","","S","7","1018.7","21.7","30","","SW","7","1016.8"
"","2016-03-21","7.9","25.5","0","","","SE","33","13:27","14.3","62","","S","7","1020.1","24.1","27","","SSE","17","1016.7"
"","2016-03-22","8.5","26.1","0","","","SSE","28","13:09","15.0","70",""," ","Calm","1019.6","25.0","28","","SSW","9","1016.0"
"","2016-03-23","7.4","28.1","0","","","WSW","26","14:37","13.7","78","","SSW","7","1018.6","25.4","32","","N","15","1016.9"
"","2016-03-24","13.7","23.9","0","","","SE","19","15:58","17.8","68",""," ","Calm","1019.9","22.6","45","","ESE","9","1018.3"
"","2016-03-25","12.7","28.3","0","","","W","41","12:57","16.8","76","","ESE","4","1018.9","26.9","33","","W","17","1015.8"
"","2016-03-26","6.6","26.2","0","","","WSW","33","19:41","13.2","73","","ESE","6","1018.6","25.2","27","","W","11","1016.3"
"","2016-03-27","7.3","27.0","0","","","W","26","18:12","14.3","77","","E","4","1018.2","25.3","35","","NNW","9","1015.8"
"","2016-03-28","8.4","25.9","0","","","NNW","31","12:38","11.7","87","","SW","7","1017.3","25.2","28","","NNW","19","1014.4"
"","2016-03-29","11.7","25.5","0","","","N","30","11:32","15.7","68",""," ","Calm","1017.7","24.5","28","","NE","13","1015.1"
"","2016-03-30","12.2","24.6","0","","","WNW","31","14:23","14.1","74",""," ","Calm","1017.5","23.2","36","","SW","9","1015.3"
"","2016-03-31","6.1","25.0","0","","","WSW","22","17:08","11.7","82","","SSE","7","1019.2","23.1","36","","N","9","1016.4"
