"Daily Weather Observations for Williamtown, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2145.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.5","28.7","0","5.0","11.2","SE","39","12:50","23.2","74","1","NNE","7","1021.9","27.4","51","2","ESE","26","1019.7"
"","2016-03-2","18.5","31.4","0","6.4","11.5","E","37","16:23","24.1","64","5","NNE","11","1021.4","30.3","49","7","E","20","1018.8"
"","2016-03-3","18.9","32.3","0","6.8","","E","43","15:48","24.0","76","2","NNE","11","1021.8","29.8","55","1","E","24","1019.5"
"","2016-03-4","21.3","28.3","0","","","ENE","41","16:23","24.5","74","2","NE","17","1021.6","27.2","60","8","ENE","24","1019.7"
"","2016-03-5","16.1","31.1","0","","","E","41","15:12","23.0","73","","NNE","11","1021.7","29.0","44","","ENE","24","1019.1"
"","2016-03-6","15.9","30.7","0","","","ENE","50","15:40","24.8","68","","NE","13","1022.6","28.5","55","","ENE","28","1020.5"
"","2016-03-7","18.4","32.5","0","29.2","10.8","E","37","15:33","23.4","75","1","NW","9","1022.1","30.7","46","1","ENE","22","1018.2"
"","2016-03-8","20.5","29.5","0","7.6","10.4","ESE","44","15:08","25.5","64","1","NE","17","1023.0","27.7","62","4","ESE","31","1021.7"
"","2016-03-9","20.1","33.6","0","7.2","11.2","ENE","39","15:17","25.1","70","1","NNE","15","1022.1","32.2","45","1","ENE","20","1017.9"
"","2016-03-10","18.4","30.5","0","7.6","","SE","28","12:41","22.1","95","7","NW","15","1020.0","27.5","66","7","SE","20","1018.1"
"","2016-03-11","17.9","32.2","0","","","ENE","43","14:55","24.3","81","5","ENE","9","1019.9","29.9","50","","ENE","28","1017.1"
"","2016-03-12","19.2","32.5","0","","","ENE","44","15:50","24.0","82","1","NNW","7","1019.7","31.7","44","","E","28","1017.2"
"","2016-03-13","20.6","30.8","0","20.6","8.9","E","43","15:07","25.0","64","5","NE","13","1020.0","29.6","52","7","ESE","26","1016.8"
"","2016-03-14","19.0","29.8","0","7.6","7.6","SE","28","11:51","23.3","83","7","NW","13","1016.4","29.2","58","3","SE","19","1013.5"
"","2016-03-15","20.9","26.9","0","4.6","4.2","SSE","46","10:48","25.1","76","7","SSW","15","1017.9","24.9","69","7","S","24","1017.5"
"","2016-03-16","19.7","26.2","2.6","6.0","3.3","SSE","33","15:12","20.2","95","8","SE","15","1018.8","24.8","66","7","S","13","1017.3"
"","2016-03-17","18.7","26.9","1.0","1.6","","SE","41","13:39","21.0","92","6","NW","11","1016.6","26.5","55","3","SE","28","1012.6"
"","2016-03-18","18.7","30.4","0","","","WNW","48","18:32","22.8","79","","N","13","1005.0","25.3","81","8","NW","7","1000.0"
"","2016-03-19","13.0","24.8","0.8","","","SSE","41","15:02","19.2","54","","WNW","19","1010.9","23.6","46","","SSE","26","1010.9"
"","2016-03-20","13.2","24.1","0","","","SSW","39","11:11","19.1","77","8","W","13","1016.9","23.0","57","6","S","24","1015.4"
"","2016-03-21","15.6","23.0","17.6","23.0","6.3","SSW","46","11:52","17.3","91","7","WSW","15","1017.5","22.8","56","2","SSW","31","1015.4"
"","2016-03-22","15.5","23.8","1.0","4.2","7.5","SSW","50","16:49","17.3","83","7","W","19","1017.2","21.5","67","4","SE","26","1014.9"
"","2016-03-23","13.8","25.3","3.0","5.0","9.6","SW","30","10:12","18.4","73","1","WNW","19","1018.1","24.8","49","1","SSE","20","1017.1"
"","2016-03-24","13.8","27.3","0.2","5.8","","E","35","15:41","18.5","74","1","NW","11","1021.1","26.5","31","1","ESE","20","1019.0"
"","2016-03-25","13.9","24.8","0","","","WNW","24","11:22","19.9","75","","NNE","9","1018.7","24.0","60","7","W","11","1016.7"
"","2016-03-26","14.6","26.2","0","","","SE","33","13:32","19.4","81","","NW","13","1018.6","25.9","59","","SE","20","1015.9"
"","2016-03-27","15.6","27.1","0","13.2","10.4","ESE","44","14:47","19.5","90","5","WNW","9","1017.5","25.8","70","2","SE","31","1015.5"
"","2016-03-28","19.0","30.1","0","3.0","8.9","E","31","14:49","22.0","78","4","NNE","13","1018.4","29.2","49","5","E","19","1014.3"
"","2016-03-29","18.5","25.5","0","5.8","1.7","SSW","37","13:52","21.4","95","7","NW","13","1017.2","24.8","72","7","SSW","30","1014.8"
"","2016-03-30","18.6","28.4","13.2","3.4","7.4","NW","50","09:14","18.9","73","5","NW","15","1015.6","26.8","36","7","WNW","13","1012.4"
"","2016-03-31","14.2","25.4","0","4.2","","S","39","13:40","19.4","52","1","WNW","19","1017.1","24.1","51","1","S","30","1016.2"
